track_name,artist,album,release_date,spotify_uri,language,danceability,energy,valence,tempo,speechiness,acousticness
Hip-Hop,Rúzsa Magdi,Ördögi Angyal,2006-10-07,spotify:track:204FxPIguRWJs264WXedmK,English,0.786,0.807,0.7,102.19,0.0558,0.0789
She Got Her Own,Ne-Yo,Hip-Hop & R&B Hits,2021-09-27,spotify:track:4wHJZ8niEWCs13M7JgLDRR,English,0.657,0.584,0.487,139.702,0.128,0.254
Hip Hopper,FBG Duck,Hip Hopper,2019-12-15,spotify:track:0gWqqGBcTTuARXLUYSEOcC,English,0.916,0.817,0.743,129.152,0.329,0.00282
Hip-Hop,Guizmo,C'est tout.,2012-11-19,spotify:track:4vtAxG6LCzKCAM28Z1VwIO,English,0.62,0.84,0.65,99.883,0.3,0.0353
Hip Hop,Trip Lee,20/20,2008-05-20,spotify:track:7crhBrVTiYqkoROhOd4ZS6,English,0.56,0.609,0.533,79.832,0.26,0.00299
Hip-Hop,Funky DL,The Ultimate Collection,2013-12-08,spotify:track:69zOO0pe2i57M91xbX2eyI,English,0.82,0.722,0.791,94.983,0.212,0.391
Hip Hop Star (feat. Big Boi & Sleepy Brown),Beyoncé,Dangerously In Love,2003-06-24,spotify:track:5cl6rJmigUbx6cNrA3nV8z,English,0.736,0.651,0.971,166.572,0.124,0.00265
Bollywood,Dreamgirl,Dreamgirl,2018-01-01,spotify:track:78YacbWWosuurc9lGnbaEh,Hindi,0.376,0.375,0.268,121.683,0.034,0.0541
"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"")",2022-07-17,spotify:track:6VBhH7CyP56BXjp8VsDFPZ,Hindi,0.577,0.574,0.436,94.009,0.0278,0.572
Bollywood,Anamanaguchi,Scott Pilgrim vs. the World: The Game (Original Videogame Soundtrack),2010-01-01,spotify:track:71q0cT3eeN3KzqAzV64CY1,Hindi,0.27,0.978,0.699,137.834,0.0852,0.0356
Bollywood,Jwles,Bollywood,2024-08-08,spotify:track:1r1Lm84LX56LRcc9FuynNk,Hindi,0.754,0.529,0.714,81.0,0.152,0.267
Badtameez Dil,Pritam,Yeh Jawaani Hai Deewani,2013-03-30,spotify:track:4eu27jAU2bbnyHUC3G75U8,Hindi,0.806,0.932,0.792,106.021,0.0684,0.24
